source, target, weight
新增,确诊病例,74
确诊病例,累计,73
病例,确诊,50
报告,确诊病例,48
加油,武汉,48
境外输入,确诊病例,46
确诊,美国,46
同胞,烈士,43
全国,确诊,43
检测,阳性,43
烈士,逝世,40
烈士,牺牲,39
出院,确诊病例,39
同胞,牺牲,38
同胞,逝世,38
全国,病例,38
牺牲,逝世,37
死亡,美国,37
出院,治愈,37
确诊病例,美国,37
抗击,牺牲,36
中国,美国,35
报告,累计,34
感染,确诊,34
中国,加油,33
境外输入,新增,32
新增,累计,32
人数,死亡,31
全球,美国,31
美国,超过,30
特朗普,美国,29
世卫,组织,29
中国,武汉,28
境外输入,报告,28
出院,患者,27
时间,美国,27
检测,美国,26
境外输入,累计,26
同胞,哀悼,25
人数,确诊,24
世卫,美国,23
全球,确诊病例,23
感染,美国,23
报告,新增,23
工作,疫情防控,22
死亡,累计,22
新增,病例,22
治愈,确诊病例,21
死亡,确诊,21
累计确诊,美国,21
死亡,确诊病例,20
世界,中国,20
中国,国家,20
出院,累计,20
出院,报告,20
哀悼,抗击,18
新增,无症状感染者,18
组织,美国,18
人民,医院,18
抗击,烈士,18
人数,美国,18
患者,确诊,17
医院,患者,17
无症状感染者,确诊病例,16
病毒,美国,16
抗疫,日记,15
患者,治愈,15
累计,美国,15
北京,时间,15
中国,人民,15
数据,美国,15
哀悼,烈士,15
意大利,确诊病例,15
国家,美国,14
出院,新增,14
病例,累计,14
哀悼,牺牲,14
报道,美国,14
世界,美国,13
人员,入境,13
世界,国家,13
报告,病例,13
医生,感染,13
确诊,超过,13
死亡,治愈,13
中国,国际,13
病例,确诊病例,13
中国,病毒,13
传播,病毒,12
报告,无症状感染者,12
新增,治愈,12
患者,治疗,12
全球,累计,12
出院,病例,12
死亡,累计确诊,12
哀悼,逝世,12
日本,确诊,12
全球,影响,12
全国,抗击,11
感染,日本,11
患者,武汉,11
感染,死亡,11
确诊病例,韩国,11
中国,抗疫,11
治愈,累计,11
全国,武汉,11
医院,治疗,11
武汉,病毒,11
人数,超过,11
全球,抗疫,11
加油,确诊,11
武汉,确诊,11
出院,治疗,11
中国,口罩,11
全国,加油,11
无症状感染者,隔离,11
病例,美国,11
新增,美国,11
人员,核酸检测,10
感染,病毒,10
感染,检测,10
人员,工作,10
中国,爆发,10
出院,境外输入,10
加油,抗击,10
新增,确诊,10
发布,美国,10
新增,死亡,10
武汉,美国,9
