content,sender,words
北京公布2月18日新发新冠肺炎确诊病例活动过的小区或场所 http://t.cn/A6h0lufr,普通用户,北京 公布 活动 小区 场所
#全国性哀悼活动# [蜡烛]有些人的挚爱却永远留在了这个冬天。深切哀悼抗击新冠肺炎疫情斗争牺牲烈士和逝世同胞。,普通用户,全国性 哀悼 活动 蜡烛 挚爱 留在 深切 哀悼 抗击 斗争 牺牲 烈士 逝世 同胞
清明时节心情凝，探望长空思绪浓。忧怀自古英烈魂，更为新冠泪湿巾。天灾人祸举国哀，十亿龙人泪满怀。悠祭同胞英魂去，感念往事痛心哉！呜呼一声长悲叹，满眼泪花缕尘埃！哀哉心疼难回首，一把素花献祭台。呜呼哀哉又悲叹，万盏灯炷照往来！贫道高龙道人武清阳含泪祭拜！稽手了！,普通用户,清明 时节 心情 探望 长空 思绪 忧怀 英烈 湿巾 举国 龙人 满怀 同胞 英魂 感念 往事 痛心 悲叹 泪花 尘埃 哀哉 心疼 回首 素花 献祭 悲叹 贫道 高龙 道人 武清 含泪 祭拜 稽手
截至4月26日18时，全球新冠肺炎疫情形势,普通用户,全球 形势
#唐山确诊首例新型肺炎病例#坐标河北省唐山市迁安市沙河驿镇红庙子村，我们村开始给家家户户消毒了[good],普通用户,唐山 首例 坐标 河北省 唐山市 迁安市 沙河 驿镇 红庙子 家家户户 消毒
#北京新增25例新型肺炎#十号返京的人都上班了，会不会又是一波猛涨期？,普通用户,北京 新增 返京 上班 猛涨
#乐华工作人员感染新冠肺炎#照顾好你司艺人和工作人员行吗，做好消毒防疫啊[泪],普通用户,乐华 工作人员 照顾 艺人 工作人员 做好 消毒 防疫
特殊时期突然高烧，内心真的是极度崩溃…… 我是不是得新冠了，我不会得新冠吧！ 我得新冠了怎么办…………………………………………………… 内心的独白…………………………………………………………,普通用户,时期 高烧 内心 崩溃 内心 独白
#清华美院教授曾成钢# 【战“疫”】  在万众一心，抗击新冠肺炎疫情的特殊时刻，清华大学美术学院副院长曾成钢教授以澎湃的辞章，一气呵成的书法作品，表达对一线抗“疫”勇士的敬意，并祈福平安，鼓舞士气，为战“疫”助力。02YpjtX27。华美院教授曾成钢｜《 战“疫”》,普通用户,清华 美院 教授 成钢 抗击 时刻 清华大学美术学院 院长 成钢 教授 澎湃 辞章 书法作品 表达 勇士 敬意 祈福 平安 鼓舞士气 助力 华美 教授 成钢
继新冠通过了托福雅思考试后 也从冬令时来到了夏令时  whatever 那就夏令时快乐吧,普通用户,托福 雅思考试 冬令 来到 夏令时 夏令时 快乐
武汉武昌医院院长刘智明因感染新冠肺炎，昨天上午牺牲在抗疫前线。03qdTLA17。的爱人蔡利萍是武汉市第三医院光谷院区ICU护士长，也一直奋战在抗疫前线。今天，妻子穿着防护服在路边与丈夫匆匆永别，哭声撕心裂肺，让现场所有人肝肠寸断，撕心裂肺的哭声：悲催！愿湖北…全国…再也没有这样的家庭？天佑我中华！  ...全文,普通用户,武汉 武昌 医院院长 刘智明 牺牲 抗疫 前线 爱人 蔡利萍 武汉市 医院 光谷 院区 护士长 奋战 抗疫 前线 妻子 穿着 防护服 丈夫 哭声 现场 所有人 哭声 湖北 全国 家庭 天佑 中华 全文
分享网易新闻《有救了！中国确认日本开发的“法比拉韦”药对治疗新冠有效，已量产！》有救了！中国确认日本开发的“法比拉韦”药对治疗新冠有效，已量产！ 来自@网易新闻客户端 #网易新闻#,普通用户,分享 网易 新闻 有救 确认 日本 开发 比拉 治疗 量产 有救 确认 日本 开发 比拉 治疗 量产 网易 新闻 客户端 网易 新闻
导演blog里都叫他凉介[害羞]真好 看到导演那段话真是胸口一热眼泪马上涌出来…（emo到现在 哎哎！可恶的新冠💢💢💢😡😡😡,普通用户,导演 害羞 导演 眼泪 涌出来 可恶
#英国新冠肺炎确诊数量2日内翻倍# 2020新愿望：活着,普通用户,英国 数量 愿望 活着
#韩国新冠肺炎累计确诊2337例##A股#,普通用户,韩国 累计确诊 A股
#河南新增72例新型肺炎#南阳第一，郑州第二，就算回去上班也要小心翼翼。我已经五天没出门了，天气这么好太残忍了叭[泪],普通用户,河南 新增 南阳 郑州 回去 上班 出门 天气 残忍
近日，国资委召开部分重点行业中央企业经济运行工作座谈会，分析新冠肺炎疫情对中央企业生产经营的影响及企业面临的困难挑战，研究应对举措。国资委党委书记、主任郝鹏表示，国资委将进一步对中央企业分行业分企业精准施策，给予更多政策支持，积极协调解决中央企业反映的困难问题，全面推进复工复产，激发企业新活力，培育发展新动能，充分发挥好中央企业国民经济“稳定器”“压舱石”的作用。,普通用户,国资委 重点 行业 中央 企业 经济运行 工作 座谈会 分析 中央 企业 生产 经营 影响 企业 面临 困难 挑战 研究 应对 举措 国资委 党委书记 郝鹏 国资委 中央 企业 分行业 企业 精准 施策 给予 政策 支持 协调 解决 中央 企业 困难 推进 复工复产 激发 企业 活力 培育 发展 动能 充分发挥 中央 企业 国民经济 稳定器 压舱 作用
#新型肺炎已治愈34例#中国加油！[爱你] 宿州·砀山县 显示地图,普通用户,治愈 加油 宿州 砀山县
关注 【新冠病毒源头在美国？专家解读来了】（来自 @一点资讯） 新冠病毒源头在美国？专家解读来了,普通用户,关注 源头 专家 解读 资讯 源头 专家 解读
《庚子年暮春》  春去江南花事少，日长枯燥夜难消。  只因这场新冠病，三月挨完四月熬。  —— 庚子春 闲人  (作于2020年4月1日) 抚州·资溪县 天下第一贤人的微博视频 显示地图,普通用户,江南 花事 枯燥 挨完 庚子 闲人 作于 抚州 资溪县 贤人
#陕西出现一名9岁新型肺炎病例#铜川如此小的城市，本以为会特别特别安全，没想到就这样被3个武汉人给污染了，真的太自私了，身为在铜川人民医院的医务工作者，23号就有这样的传闻以为是谣言呢，没想到今天就确诊了。希望我们铜川所有的人都要安安全全的，保佑[蜡烛][蜡烛][蜡烛],普通用户,陕西 铜川 城市 武汉 污染 自私 身为 铜川 人民 医院 医务 工作者 谣言 希望 铜川 安安全全 保佑 蜡烛 蜡烛 蜡烛
"vlog09,人间四月芳菲尽，这是一个特殊的四月，一个特殊的春天。在家憋疯的我在门口的草坪上捡了一个树枝都玩了半天[允悲]视频里的镜头都为我在车里或者小区里拍摄，没有乱跑哦。#美国新冠病毒确诊接近66万例#   Flora亚婷婷的微博视频",普通用户,人间 芳菲尽 草坪 树枝 允悲 镜头 小区 拍摄 乱跑 接近
谣言biss。『新冠肺炎疫情中关于中国的16个谣言和真相』http://t.cn/A6weOZ61,普通用户,谣言 谣言
【14日上午越南无新增新冠肺炎确诊病例】据国家新冠肺炎疫情防控指导委员会，截至4月14日6时，越南新冠肺炎确诊病例数量仍为265例，其中境外输入确诊病例160例，占60.4%；社区感染病例105例，占39.6%。14日上午越南无新增新冠肺炎确诊病例。 http://t.cn/A6wfZ9YQ,普通用户,越南 新增 国家 疫情防控 指导 委员会 越南 数量 境外输入 社区 感染病例 越南 新增
『实时更新|新型肺炎疫情最新动态』http://t.cn/A6PMluzt,普通用户,动态
